product_id,date,quantity,revenue,category
P1,2021-01-01,29,6451.42,Eletrônicos
P2,2021-01-01,9,3445.83,Eletrônicos
P3,2021-01-01,10,1514.84,Roupas
P4,2021-01-01,23,1895.37,Roupas
P5,2021-01-01,2,705.96,Livros
P6,2021-01-01,15,3287.14,Móveis
P7,2021-01-01,26,7184.32,Eletrônicos
P8,2021-01-01,7,2964.73,Roupas
P9,2021-01-01,25,10830.67,Livros
P10,2021-01-01,49,23559.08,Móveis
P1,2021-01-02,47,10361.42,Eletrônicos
P2,2021-01-02,5,1511.83,Eletrônicos
P3,2021-01-02,18,1711.01,Roupas
P4,2021-01-02,25,5489.07,Roupas
P5,2021-01-02,50,11249.45,Livros
P6,2021-01-02,11,3250.08,Móveis
P7,2021-01-02,3,697.99,Eletrônicos
P8,2021-01-02,29,5096.58,Roupas
P9,2021-01-02,19,7340.95,Livros
P10,2021-01-02,11,4781.81,Móveis
P1,2021-01-03,23,4000.64,Eletrônicos
P2,2021-01-03,37,11836.76,Eletrônicos
P3,2021-01-03,30,5097.48,Roupas
P4,2021-01-03,35,14825.41,Roupas
P5,2021-01-03,20,3749.66,Livros
P6,2021-01-03,12,1890.2,Móveis
P7,2021-01-03,17,5820.19,Eletrônicos
P8,2021-01-03,23,1669.57,Roupas
P9,2021-01-03,7,865.61,Livros
P10,2021-01-03,40,2920.36,Móveis
P1,2021-01-04,7,1097.27,Eletrônicos
P2,2021-01-04,8,2938.8,Eletrônicos
P3,2021-01-04,25,7502.35,Roupas
P4,2021-01-04,18,3313.88,Roupas
P5,2021-01-04,18,4472.37,Livros
P6,2021-01-04,4,1075.51,Móveis
P7,2021-01-04,5,1760.87,Eletrônicos
P8,2021-01-04,1,425.97,Roupas
P9,2021-01-04,4,975.45,Livros
P10,2021-01-04,11,3430.1,Móveis
P1,2021-01-05,10,2633.24,Eletrônicos
P2,2021-01-05,2,281.8,Eletrônicos
P3,2021-01-05,2,567.41,Roupas
P4,2021-01-05,12,3062.09,Roupas
P5,2021-01-05,12,2921.37,Livros
P6,2021-01-05,7,2889.44,Móveis
P7,2021-01-05,7,1329.53,Eletrônicos
P8,2021-01-05,8,2570.81,Roupas
P9,2021-01-05,15,2225.0,Livros
P10,2021-01-05,6,643.18,Móveis
P1,2021-01-06,1,96.2,Eletrônicos
P2,2021-01-06,10,4828.91,Eletrônicos
P3,2021-01-06,10,4387.21,Roupas
P4,2021-01-06,9,3582.57,Roupas
P5,2021-01-06,8,3990.57,Livros
P6,2021-01-06,16,5549.21,Móveis
P7,2021-01-06,4,1648.32,Eletrônicos
P8,2021-01-06,5,1899.2,Roupas
P9,2021-01-06,6,2616.53,Livros
